name,supplier,supplierid,smiles,molclass,amount,unit,platebarcode,samplebarcode
ZINC00000163,Apexmol Building Blocks,AM20040106,c1c2c(cc(c1C3CCCCC3)Cl)[C@H](CC2)C(=O)[O-],hts,20,mg,x1,10000020
ZINC00000166,Molport BB,MolPort-003-983-424,C[C@H](C[NH+](C)C)[C@@](C)(Cc1ccc(cc1)Cl)O,hts,21,mg,x1,10000021
ZINC00000189,MicroSource World Drugs,01505082,C[C@@H]1C[C@H](CC(C1)(C)C)OC(=O)[C@@H](c2ccccc2)O,hts,22,mg,x1,10000022
ZINC00000196,Toronto Research Chemicals,C988430,C[NH+](C)CCOC(=O)[C@H](c1ccccc1)C2(CCCC2)O,hts,23,mg,x1,10000023
ZINC00000199,DrugBank-approved,DB00942,c1ccc(cc1)[C@@](CC[NH+]2CCCCC2)(C3CCCC3)O,hts,24,mg,x1,10000024
ZINC00000215,Otava BB Make-to-order,3357579,CC[NH+](CC)[C@@H](C)C(=O)c1ccccc1,hts,25,mg,x1,10000025
ZINC00000240,FDA-approved drugs (via DSSTOX),426,c1ccc(c(c1)C2=N[C@H](C(=O)N(c3c2cc(cc3)Cl)CCO)O)F,hts,26,mg,x1,10000026
ZINC00000242,Bosche Scientific,D6387,C[C@](c1ccccc1)(c2ccccn2)OCC[NH+](C)C,hts,27,mg,x1,10000027
ZINC00000257,Toronto Research Chemicals,E668000,CC(C)[NH2+]C[C@H](COc1ccc(cc1)CCC(=O)OC)O,hts,28,mg,x1,10000028
ZINC00000266,MicroSource Pharmakon,01505994,CCN(CC)C(=O)c1ccc(c(c1)OC)O,hts,29,mg,x1,10000029
ZINC00000267,AK Scientific,X2131,CC[C@](/C=C/Cl)(C#C)O,hts,30,mg,x1,10000030
ZINC00000268,Ark Pharm Building Blocks,AK116082,CCOC(=O)[C@@]1(CCC[NH+](CC1)C)c2ccccc2,hts,31,mg,x1,10000031
ZINC00000271,MicroSource Pharmakon,01505428,CCN1C(=O)[C@H](NC1=O)c2ccccc2,hts,32,mg,x1,10000032
ZINC00000276,Toronto Research Chemicals,E932700,CCC[NH+](CC)[C@@H](CC)C(=O)Nc1c(cccc1C)C,hts,33,mg,x1,10000033
ZINC00000294,Sequoia Research Products,3239-44-9,CC[NH2+][C@@H](C)Cc1cccc(c1)C(F)(F)F,hts,34,mg,x1,10000034
ZINC00000301,MicroSource US Drugs,01501011,C[C@@H](c1cccc(c1)Oc2ccccc2)C(=O)[O-],hts,35,mg,x1,10000035
ZINC00000303,FDA-approved drugs (via DSSTOX),508,C[C@](CC(C)(C)O)(c1ccc(cc1)Cl)O,hts,36,mg,x1,10000036
ZINC00000323,Sequoia Research Products,5104-49-4,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)[O-],hts,37,mg,x1,10000037
ZINC00000344,AK Scientific,67721,C[C@H]([C@H]1OC[C@@H](O1)CO)I,hts,38,mg,x1,10000038
ZINC00000346,Prestwick Chemical,Prestw-746,C[N+]1(CC[C@@H](C1)OC(=O)[C@](c2ccccc2)(C3CCCC3)O)C,hts,39,mg,x1,10000039
ZINC00000347,Fluorochem,036547,Cn1c2ccccc2c(n1)C(=O)NC3C[C@@H]4CCC[C@H](C3)[NH+]4C,hts,40,mg,x1,10000040
ZINC00000353,SynQuest Building Blocks,2604-1-X1,COc1ccccc1OC[C@@H](CO)O,hts,41,mg,x1,10000041
ZINC00000363,FDA-approved drugs (via DSSTOX),584,C[N+]1(CCN(CC1)C[C@@](c2ccccc2)(C3CCCCC3)O)C,hts,42,mg,x1,10000042
ZINC00000365,Ambinter,Amb17597180,C[C@H](C[NH2+]C1CCCCC1)OC(=O)c2ccccc2,hts,43,mg,x1,10000043
ZINC00000367,ChemMol,44006636,C[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@@H](c3ccccc3)O,hts,44,mg,x1,10000044
ZINC00000368,BioSynth,H-2560,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)[C@@H](c3ccccc3)O)C,hts,45,mg,x1,10000045
ZINC00000373,UORSY BB Make-on-demand,BBV-044590,C[C@H](Cc1ccc(cc1)O)[NH3+],hts,46,mg,x1,10000046
ZINC00000380,FDA-approved drugs (via DSSTOX),601,C[C@@H](c1ccc(cc1)CC(C)C)C(=O)OCc2ccccn2,hts,47,mg,x1,10000047
ZINC00000401,Prestwick Chemical,Prestw-749,CC[C@@H]([C@H](c1ccc(c(c1)O)O)O)[NH2+]C(C)C,hts,48,mg,x1,10000048
ZINC00000404,DrugBank-approved,DB08802,C[C@@H](CN1c2ccccc2Sc3c1nccc3)[NH+](C)C,hts,49,mg,x1,10000049
ZINC00000407,Prestwick Chemical,68,C[C@H](COc1ccccc1)[NH2+][C@@H](C)[C@H](c2ccc(cc2)O)O,hts,50,mg,x1,10000050
ZINC00000409,FDA-approved drugs (via DSSTOX),648,C[NH2+][C@@]1(CCCCC1=O)c2ccccc2Cl,hts,51,mg,x1,10000051
ZINC00000416,Aldrich CPR,R592560|ALDRICH,C[C@H](CCc1ccccc1)[NH2+]C[C@H](c2ccc(c(c2)C(=O)N)O)O,hts,52,mg,x1,10000052
ZINC00000431,ChemMol,97600479,c1ccc(c(c1)C2=N[C@H](C(=O)Nc3c2cc(cc3)Cl)O)Cl,hts,53,mg,x1,10000053
ZINC00000440,Toronto Research Chemicals,M198500,c1ccc2c(c1)C3=[NH+]CCN3[C@]2(c4ccc(cc4)Cl)O,hts,54,mg,x1,10000054
ZINC00000449,Ambinter Natural Products,Ambmdy01500383,C[N+]1(CCC[C@@H](C1)OC(=O)C(c2ccccc2)(c3ccccc3)O)C,hts,55,mg,x1,10000055
ZINC00000450,TimTec Building Blocks,SBB056988,Cc1ccccc1OC[C@@H](CO)O,hts,56,mg,x1,10000056
ZINC00000452,FDA-approved drugs (via DSSTOX),716,COc1ccccc1OC[C@@H]2CNC(=O)O2,hts,57,mg,x1,10000057
ZINC00000453,Sigma Aldrich (Building Blocks),UC176|SIGMA,CC[C@]1(C(=O)N(C(=O)N1)C)c2ccccc2,hts,58,mg,x1,10000058
ZINC00000456,Bosche Scientific,M3165,Cc1cccc(c1NC(=O)[C@H]2CCCC[NH+]2C)C,hts,59,mg,x1,10000059
ZINC00000469,DrugBank-approved,DB00816,CC(C)[NH2+]C[C@H](c1cc(cc(c1)O)O)O,hts,60,mg,x1,10000060
ZINC00000471,Ambinter Natural Products,Ambmdy01504229,Cc1cc(cc(c1)OC[C@H]2CNC(=O)O2)C,hts,61,mg,x1,10000061
ZINC00000478,NCI Plated 2007,74235,CC[C@@H](c1ccc2cc(ccc2c1)OC)C(C)(C)C(=O)[O-],hts,62,mg,x1,10000062
ZINC00000480,DrugBank-approved,DB00902,C[NH+]1CC[C@@H](C1)CN2c3ccccc3Sc4c2cccc4,hts,63,mg,x1,10000063
ZINC00000487,Enamine Building Blocks,EN300-92938,C[C@@H](Cc1ccccc1OC)[NH2+]C,hts,64,mg,x1,10000064
ZINC00000494,Aldrich CPR,R736139|ALDRICH,Cc1cc(c(c(c1OC(=O)C)C)C)OC[C@@H](C[NH2+]C(C)C)O,hts,65,mg,x1,10000065
ZINC00000504,MicroSource Pharmakon,02300292,C[NH+]1CCN2c3ccccc3Cc4ccccc4[C@@H]2C1,hts,66,mg,x1,10000066
ZINC00000507,TimTec Make-on-Demand,ST51037351,COc1ccc(c(c1)[C@@H](CNC(=O)C[NH3+])O)OC,hts,67,mg,x1,10000067
ZINC00000509,FDA-approved drugs (via DSSTOX),786,C[NH+]1CCN2c3c(ccc[nH+]3)Cc4ccccc4[C@@H]2C1,hts,68,mg,x1,10000068
ZINC00000512,FDA-approved drugs (via DSSTOX),793,CCc1c([nH]c2c1C(=O)[C@H](CC2)C[NH+]3CCOCC3)C,hts,69,mg,x1,10000069
ZINC00000549,Prestwick Chemical,108,C[NH+]1Cc2c(cccc2N)[C@@H](C1)c3ccccc3,hts,70,mg,x1,10000070
ZINC00000565,NCI Plated 2007,82357,Cc1ccccc1[C@@H](c2ccccc2)OCC[NH+](C)C,hts,71,mg,x1,10000071
ZINC00000570,FDA-approved drugs (via DSSTOX),859,CC(C)[NH2+]C[C@H]1CCc2cc(c(cc2N1)[N+](=O)[O-])CO,hts,72,mg,x1,10000072
ZINC00000575,Sigma Aldrich (Building Blocks),O901|CERILLIAN,c1ccc(cc1)C2=N[C@H](C(=O)Nc3c2cc(cc3)Cl)O,hts,73,mg,x1,10000073
ZINC00000576,FDA-approved drugs (via DSSTOX),862,C[C@H]1C[NH+]2CC(=O)Nc3ccc(cc3[C@]2(O1)c4ccccc4)Cl,hts,74,mg,x1,10000074
ZINC00000582,Bosche Scientific,O3536,C[C@@H](CN1c2ccccc2S(=O)(=O)c3c1cccc3)C[NH+](C)C,hts,75,mg,x1,10000075
ZINC00000591,ChemMol,30106367,c1ccc(cc1)[C@H]2C(=O)N=C(O2)N,hts,76,mg,x1,10000076
ZINC00000594,FDA-approved drugs (via DSSTOX),893,CC[C@@H](C)[C@@H](c1ccccc1)C(=O)OC2CC[NH+](CC2)C,hts,77,mg,x1,10000077
ZINC00000596,DrugBank-approved,DB00652,C[C@H]1[C@H]2Cc3ccc(cc3[C@@]1(CC[NH+]2CC=C(C)C)C)O,hts,78,mg,x1,10000078
ZINC00000602,Aronis,c08420,CCOc1ccc(cc1)NC(=O)C,hts,79,mg,x1,10000079
ZINC00000603,FDA-approved drugs (via DSSTOX),905,C[C@@](c1ccc(cc1)Cl)(C(C)(C)O)O,hts,80,mg,x1,10000080
ZINC00000607,Amadis Chemical,A806397,C[NH+](C)CC[C@@H](c1ccccc1)c2ccccn2,hts,81,mg,x1,10000081
ZINC00000609,TimTec Building Blocks,SBB072145,C[C@@H]1[C@H](OCC[NH2+]1)c2ccccc2,hts,82,mg,x1,10000082
ZINC00000610,FDA-approved drugs (via DSSTOX),919,C[C@H](COc1ccccc1)[NH+](CCCl)Cc2ccccc2,hts,83,mg,x1,10000083
ZINC00000633,FDA-approved drugs (via DSSTOX),947,c1ccc(cc1)C(c2ccccc2)([C@@H]3CCCC[NH2+]3)O,hts,84,mg,x1,10000084
ZINC00000637,DrugBank-approved,DB01291,CC(C)(C)[NH2+]C[C@H](c1ccc(c(n1)CO)O)O,hts,85,mg,x1,10000085
ZINC00000646,FDA-approved drugs (via DSSTOX),950,C[C@@H](c1ccc(c(c1)Cl)N2CC=CC2)C(=O)[O-],hts,86,mg,x1,10000086
ZINC00000654,ChemMol,44005933,C[C@@H](c1ccc2c(c1)Cc3cccnc3O2)C(=O)[O-],hts,87,mg,x1,10000087
ZINC00000655,ChemMol,30101537,c1ccc2c(c1)CCN3[C@H]2CN(CC3=O)C(=O)C4CCCCC4,hts,88,mg,x1,10000088
ZINC00000669,AK Scientific,S111,CCC(=O)c1ccc2c(c1)N(c3ccccc3S2)C[C@H](C)[NH+](C)C,hts,89,mg,x1,10000089
ZINC00000686,Prestwick Chemical,1050,CC[C@@H]1Nc2cc(c(cc2C(=O)N1)S(=O)(=O)N)Cl,hts,90,mg,x1,10000090
ZINC00000693,eMolecules,479290,C[C@](Cc1ccc(cc1)O)(C(=O)[O-])[NH3+],hts,91,mg,x1,10000091
ZINC00000740,FDA-approved drugs (via DSSTOX),1098,CN1c2ccc(cc2C(=N[C@H](C1=O)O)c3ccccc3)Cl,hts,92,mg,x1,10000092
ZINC00000746,Sequoia Research Products,23031-32-5,CC(C)(C)[NH2+]C[C@@H](c1cc(cc(c1)O)O)O,hts,93,mg,x1,10000093
ZINC00000767,DrugBank-approved,DB01600,C[C@@H](c1ccc(s1)C(=O)c2ccccc2)C(=O)[O-],hts,94,mg,x1,10000094
ZINC00000776,APIChem,AC-1667,C[N+]1(C[C@@H](CC(=C(c2cccs2)c3cccs3)C1)OC)C,hts,95,mg,x1,10000095
ZINC00000780,FDA-approved drugs (via DSSTOX),87,C[NH+]1CCCC(=C(c2cccs2)c3cccs3)C1,hts,96,mg,x1,10000096
ZINC00000786,APIChem,AC-16017,Cc1cccc(c1NC(=O)[C@@H](C)[NH3+])C,hts,97,mg,x1,10000097
ZINC00000797,Molport BB,MolPort-000-375-102,COc1ccc(cc1OC)/C=C/C(=O)Nc2ccccc2C(=O)[O-],hts,98,mg,x1,10000098
ZINC00000802,FDA-approved drugs (via DSSTOX),1156,COc1cc(cc(c1OC)OC)C[C@H]2c3cc(c(cc3CC[NH2+]2)O)O,hts,99,mg,x1,10000099
ZINC00000808,ChemMol,44029731,C[C@@H](CN1c2ccccc2Sc3c1cccc3)C[NH+](C)C,hts,100,mg,x1,10000100
ZINC00000811,Aldrich CPR,S570621|ALDRICH,COc1cc(cc(c1OC)OC)C(=O)N2CCOCC2,hts,101,mg,x1,10000101
ZINC00000817,BioSynth,Q-100918,COc1cc(cc(c1OC)OC)C(=O)N[C@@H]2CCC[NH2+]C2,hts,102,mg,x1,10000102
ZINC00000843,AK Scientific,67363,Cn1c2c(c(=O)n(c1=O)C)n(cn2)C[C@@H](C[NH+](C)CCO)O,hts,103,mg,x1,10000103
ZINC00000850,Focus Synthesis BB Make-on-Demand,FS200175,C[C@@H](c1cc2ccccc2s1)N(C(=O)N)O,hts,104,mg,x1,10000104
ZINC00000853,FineTech,FT-0604438,C[NH+](C)C[C@H]1CCCC[C@@]1(c2cccc(c2)OC)O,hts,105,mg,x1,10000105
ZINC00000856,Sigma Aldrich (Building Blocks),F0372000|FLUKA,C[C@@H](Cc1ccc(cc1)OC)[NH2+]C[C@H](c2ccc(c(c2)NC=O)O)O,hts,106,mg,x1,10000106
ZINC00000882,Tetrahedron Building Blocks,964,c1[nH]c2c(n1)c(ncn2)N,hts,107,mg,x1,10000107
ZINC00000903,ZereneX Building Blocks,ZBioX-0652,Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,hts,108,mg,x1,10000108
ZINC00000905,Sigma Aldrich (Building Blocks),549835|ALDRICH,CN(C)c1nc(nc(n1)N(C)C)N(C)C,hts,109,mg,x1,10000109
ZINC00000922,ChemMol,44012713,c1cc(c(cc1N)O)C(=O)[O-],hts,110,mg,x1,10000110
ZINC00000931,DrugBank-approved,DB00543,c1ccc2c(c1)N=C(c3cc(ccc3O2)Cl)N4CC[NH2+]CC4,hts,111,mg,x1,10000111
ZINC00000941,Toronto Research Chemicals,A637425,CC(C)(C#N)c1cc(cc(c1)C(C)(C)C#N)Cn2cncn2,hts,112,mg,x1,10000112
ZINC00001003,MicroSource World Drugs,01504509,CC(=O)Nc1ccc(cc1)OC(=O)c2ccccc2OC(=O)C,hts,113,mg,x1,10000113
ZINC00001021,Sigma Aldrich (Building Blocks),B17700|ALDRICH,c1ccc(cc1)COC(=O)c2ccccc2,hts,114,mg,x1,10000114
ZINC00001023,MicroSource US Drugs,01505778,C[N+](C)(CCOc1ccccc1)Cc2ccccc2,hts,115,mg,x1,10000115
ZINC00001028,Innovapharm BB Make on Demand,BBV-00067534,c1c[nH]nc1CC[NH3+],hts,116,mg,x1,10000116
ZINC00001041,Ark Pharm Building Blocks,AK-81946,CC[N+](C)(C)Cc1ccccc1Br,hts,117,mg,x1,10000117
ZINC00001051,NCI Plated 2007,140669,c1ccnc(c1)C2=NCC(=O)Nc3c2cc(cc3)Br,hts,118,mg,x1,10000118
ZINC00001067,Ambinter,Amb17505921,c1cc(c(cc1C(=O)CCC(=O)[O-])Cl)C2CCCCC2,hts,119,mg,x1,10000119
ZINC00001084,UORSY BB Make-on-demand,BBR-008914,Cn1cnc2c1c(=O)n(c(=O)n2C)C,hts,120,mg,x1,10000120
ZINC00001091,BioSynth,W-107493,CCOC(=O)n1ccn(c1=S)C,hts,121,mg,x1,10000121
ZINC00001093,FDA-approved drugs (via DSSTOX),201,CCC(CC)(C(=O)NC(=O)N)Br,hts,122,mg,x1,10000122
ZINC00001100,Frontier Scientific Services BB,500054232,C[C@@H]([C@H](c1ccccc1)O)[NH3+],hts,123,mg,x1,10000123
ZINC00001115,MicroSource Pharmakon,01500171,c1cc(ccc1CCCC(=O)[O-])N(CCCl)CCCl,hts,124,mg,x1,10000124
ZINC00001127,Prestwick Chemical,999,CC(C)NC(=[NH2+])NC(=[NH2+])Nc1ccc(cc1)Cl,hts,125,mg,x1,10000125
ZINC00001131,Tractus,TR-024734,c1cc2c(cc(c(c2nc1)O)Cl)Cl,hts,126,mg,x1,10000126
ZINC00001136,FDA-approved drugs (via DSSTOX),268,CC(C)NC(=[NH2+])NC(=[NH2+])Nc1ccc(c(c1)Cl)Cl,hts,127,mg,x1,10000127
ZINC00001137,ZereneX Building Blocks,ZBioX-0634,C[NH+](C)CC/C=C\1/c2ccccc2Sc3c1cc(cc3)Cl,hts,128,mg,x1,10000128
ZINC00001145,Sigma Aldrich (Building Blocks),C0415|FLUKA,Cc1cc(n(c(=O)c1)[O-])C2CCCCC2,hts,129,mg,x1,10000129
ZINC00001148,Bosche Scientific,D1891,C[NH+](C)CC/C=C\1/c2ccccc2COc3c1cccc3,hts,130,mg,x1,10000130
ZINC00001169,AK Scientific,Q335,C1[C@@H]2N(C1=O)[C@@H](/C(=C/CO)/O2)C(=O)[O-],hts,131,mg,x1,10000131
ZINC00001171,APIChem,AC-12474,C[C@](c1ccccc1)(c2ccc(cc2)Cl)OCC[C@@H]3CCC[NH+]3C,hts,132,mg,x1,10000132
ZINC00001175,DrugBank-approved,DB00349,CN1c2ccc(cc2N(C(=O)CC1=O)c3ccccc3)Cl,hts,133,mg,x1,10000133
ZINC00001192,Amadis Chemical,A829528,Cc1c(scn1)CCCl,hts,134,mg,x1,10000134
ZINC00001204,Enamine Building Blocks,EN300-68188,CC(C)(Cc1ccccc1Cl)[NH3+],hts,135,mg,x1,10000135
ZINC00001206,FDA-approved drugs (via DSSTOX),312,C[NH+]1CCN(CC1)C2=Nc3ccccc3Sc4c2cc(cc4)Cl,hts,136,mg,x1,10000136
ZINC00001207,Toronto Research Chemicals,C587410,CCc1cc2c(s1)N(C(=O)CN=C2c3ccccc3Cl)C,hts,137,mg,x1,10000137
ZINC00001227,FDA-approved drugs (via DSSTOX),324,C[C@@H]1[C@H]2Cc3ccc(cc3[C@@]1(CC[NH+]2CC4CC4)C)O,hts,138,mg,x1,10000138
ZINC00001233,Scientific Exchange (make on demand),Z-030136,CC1([NH+]=C(N=C(N1c2ccc(cc2)Cl)N)N)C,hts,139,mg,x1,10000139
ZINC00001246,ChemMol,44010584,Cc1ccccc1N2CC[NH+](CC2)CCc3nnc4n3CCCC4,hts,140,mg,x1,10000140
ZINC00001261,Toronto Research Chemicals,D290250,c1cc2c(nc1)C(=C3CC[NH2+]CC3)c4ccc(cc4CC2)Cl,hts,141,mg,x1,10000141
ZINC00001266,Bosche Scientific,L5155,C[C@@H](C1=[NH+]CCN1)Oc2c(cccc2Cl)Cl,hts,142,mg,x1,10000142
ZINC00001267,Sigma Aldrich (Building Blocks),M2892|SIGMA,COC(=O)[C@H](c1ccccc1)[C@@H]2CCCC[NH2+]2,hts,143,mg,x1,10000143
ZINC00001268,FDA-approved drugs (via DSSTOX),1132,CCOC(=O)[C@]1(CCC=C[C@@H]1[NH+](C)C)c2ccccc2,hts,144,mg,x1,10000144
ZINC00001275,FDA-approved drugs (via DSSTOX),377,CN1c2ccccc2C(=O)N(c3c1cccc3)CC[NH+](C)C,hts,145,mg,x1,10000145
ZINC00001281,AK Scientific,K384,c1ccc(c(c1)CC(=O)[O-])Nc2c(cccc2Cl)Cl,hts,146,mg,x1,10000146
ZINC00001283,MicroSource US Drugs,01500241,C/C=C(/C(=C/C)/c1ccc(cc1)O)\c2ccc(cc2)O,hts,147,mg,x1,10000147
ZINC00001288,Frontier Scientific Services BB,500054676,CCN(CC)C(=O)N1CC[NH+](CC1)C,hts,148,mg,x1,10000148
ZINC00001290,PBMR Labs,PS_1316348,CC/C(=C(/CC)\c1ccc(cc1)O)/c2ccc(cc2)O,hts,149,mg,x1,10000149
ZINC00001299,FDA-approved drugs (via DSSTOX),400,CN(c1ccc(cc1)O)C(=O)C(Cl)Cl,hts,150,mg,x1,10000150
ZINC00001300,MicroSource Pharmakon,01505532,CN(c1ccc(cc1)OC(=O)c2ccco2)C(=O)C(Cl)Cl,hts,151,mg,x1,10000151
ZINC00001320,FDA-approved drugs (via DSSTOX),415,c1ccc(cc1)c2c(oc(n2)N(CCO)CCO)c3ccccc3,hts,152,mg,x1,10000152
ZINC00001331,FineTech,FT-0601521,C[NH+](C)CC/C=C/1\c2ccccc2COc3c1cccc3,hts,153,mg,x1,10000153
ZINC00001341,ChemMol,44007784,CC[N+](C)(C)c1cccc(c1)O,hts,154,mg,x1,10000154
ZINC00001349,FDA-approved drugs (via DSSTOX),442,CCOc1c(cnn(c1=O)C)N2CCOCC2,hts,155,mg,x1,10000155
ZINC00001370,Toronto Research Chemicals,E668380,c1ccc(cc1)C2=NCc3nncn3-c4c2cc(cc4)Cl,hts,156,mg,x1,10000156
ZINC00001380,TimTec Make-on-Demand,ST45028002,CCN(CC)S(=O)(=O)c1ccc(cc1)C(=O)[O-],hts,157,mg,x1,10000157
ZINC00001382,MicroSource Pharmakon,01500287,CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)[O-],hts,158,mg,x1,10000158
ZINC00001384,eMolecules,538041,CCOc1ccccc1C(=O)N,hts,159,mg,x1,10000159
ZINC00001385,FDA-approved drugs (via DSSTOX),474,C#CC1(CCCCC1)OC(=O)N,hts,160,mg,x1,10000160
ZINC00001402,Toronto Research Chemicals,E933030,CCc1cc2c(s1)-n3c(nnc3CN=C2c4ccccc4Cl)C,hts,161,mg,x1,10000161
ZINC00001408,Asinex,BAS01947657,CCOC(=O)c1cncn1[C@H](C)c2ccccc2,hts,162,mg,x1,10000162
ZINC00001427,PBMR Labs,PS_1166471,c1ccc(cc1)c2ccc(cc2)C(=O)CCC(=O)[O-],hts,163,mg,x1,10000163
ZINC00001441,Prestwick Chemical,Prestw-213,c1ccc(cc1)CC[NH+]2CCC3(CC2)CNC(=O)O3,hts,164,mg,x1,10000164
ZINC00001446,ChemMol,30106828,CC(=CCc1c(n(n(c1=O)c2ccccc2)c3ccccc3)[O-])C,hts,165,mg,x1,10000165
ZINC00001457,FineTech,FT-0620392,c1c(c(=O)[nH]c(=O)n1[C@@H]2C[C@H]([C@@H](O2)CO)O)F,hts,166,mg,x1,10000166
ZINC00001460,DrugBank-approved,DB01567,CN1c2ccc(cc2C(=NCC1=O)c3ccccc3F)Cl,hts,167,mg,x1,10000167
ZINC00001464,MicroSource Pharmakon,01505701,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)F,hts,168,mg,x1,10000168
ZINC00001505,Enamine Building Blocks,EN300-49857,c1nc2c(=O)[nH]c(nc2n1COC(CO)CO)N,hts,169,mg,x1,10000169
ZINC00001512,Scientific Exchange (make on demand),M-049981,CC(C)(C)c1nnc(s1)[N-]S(=O)(=O)c2ccccc2,hts,170,mg,x1,10000170
ZINC00001547,FDA-approved drugs (via DSSTOX),597,c1cc(ccc1/C=C/c2ccc(cc2O)C(=[NH2+])N)C(=[NH2+])N,hts,171,mg,x1,10000171
ZINC00001554,Sigma Aldrich (Building Blocks),695653|ALDRICH,c1ccc(c(c1)C(=O)[O-])O,hts,172,mg,x1,10000172
ZINC00001579,Ambinter Natural Products,Ambmdy01500634,CC(C)NNC(=O)c1ccncc1,hts,173,mg,x1,10000173
ZINC00001586,Innovapharm BB Make on Demand,BBV-00025037,CC(C)COC(=O)c1ccc(cc1)N,hts,174,mg,x1,10000174
ZINC00001587,APIChem,AC-24841,Cc1cc(no1)C(=O)NNCc2ccccc2,hts,175,mg,x1,10000175
ZINC00001590,FDA-approved drugs (via DSSTOX),634,c1cnccc1C(=O)NN,hts,176,mg,x1,10000176
ZINC00001612,ChemMol,30105067,CC[NH2+][C@H](C)Cc1cccc(c1)C(F)(F)F,hts,177,mg,x1,10000177
ZINC00001621,MicroSource US Drugs,00330071,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,hts,178,mg,x1,10000178
ZINC00001624,Prestwick Chemical,585,C[NH+]1[C@@H](CCC[C@@H]1CC(=O)c2ccccc2)C[C@@H](c3ccccc3)O,hts,179,mg,x1,10000179
ZINC00001639,Prestwick Chemical,132,C[NH+]1CCN(CC1)C2=Nc3ccccc3Oc4c2cc(cc4)Cl,hts,180,mg,x1,10000180
ZINC00001655,TCI,M1269,Cc1ccc(c(c1Cl)Nc2ccccc2C(=O)[O-])Cl,hts,181,mg,x1,10000181
ZINC00001661,DrugBank-approved,DB01042,c1cc(ccc1C[C@H](C(=O)[O-])[NH3+])N(CCCl)CCCl,hts,182,mg,x1,10000182
ZINC00001672,FDA-approved drugs (via DSSTOX),759,CC1CC[NH+](CC1)CCCC(=O)c2ccc(cc2)F,hts,183,mg,x1,10000183
ZINC00001673,DrugBank-approved,DB01042,c1cc(ccc1C[C@@H](C(=O)[O-])[NH3+])N(CCCl)CCCl,hts,184,mg,x1,10000184
